Id,Label,name,Degree
n500,Christopher Nasveschuk,Christopher Nasveschuk,23
n501,Eneida Pardo,Eneida Pardo,23
n502,Florence Poy,Florence Poy,23
n503,Hariharan Jayaram,Hariharan Jayaram,23
n504,James Audia,James Audia,23
n505,Jean-Christophe Harmange,Jean-Christophe Harmange,23
n506,Jennifer Mertz,Jennifer Mertz,23
n507,Louise Bergeron,Louise Bergeron,23
n508,Michael Hewitt,Michael Hewitt,23
n509,Nandana Bangalore Srinivasamurthy,Nandana Bangalore Srinivasamurthy,23
n510,Peter Sandy,Peter Sandy,23
n511,Ravichandran Sankaranarayanan,Ravichandran Sankaranarayanan,23
n512,Rishi Vaswani,Rishi Vaswani,23
n513,Robert Sims,Robert Sims,31
n514,Shivangi Joshi,Shivangi Joshi,23
n515,Sreegouri Yellapantula,Sreegouri Yellapantula,23
n516,Steve Bellon,Steve Bellon,23
n517,Swarnakumari Birudukota,Swarnakumari Birudukota,23
n518,Victor Gehling,Victor Gehling,23
n519,Adlai Grayson,Adlai Grayson,12
n520,Brian Rubin,Brian Rubin,12
n521,Christopher French,Christopher French,49
n522,Cristina Antonescu,Cristina Antonescu,12
n523,Erica Walsh,Erica Walsh,12
n524,Madeleine Lemieux,Madeleine Lemieux,26
n525,Noam Grunfeld,Noam Grunfeld,12
n526,Paola Dal Cin,Paola Dal Cin,12
n527,Peter Howley,Peter Howley,12
n528,Rajkumar Venkatramani,Rajkumar Venkatramani,12
n529,Shaila Rahman,Shaila Rahman,12
n530,Simone Kuhnle,Simone Kuhnle,12
n531,G Paz,G Paz,8
n532,H Breitbart,H Breitbart,8
n533,H Yavetz,H Yavetz,8
n534,L Yogev,L Yogev,8
n535,O Lehavi,O Lehavi,8
n536,R Hauser,R Hauser,8
n537,S Barda,S Barda,8
n538,S Kleiman,S Kleiman,8
n539,Ann Greifenberg,Ann Greifenberg,3
n540,Christian Bösken,Christian Bösken,3
n541,Friederike Itzen,Friederike Itzen,3
n542,Claes Wahlestedt,Claes Wahlestedt,13
n543,Eléonore Beurel,Eléonore Beurel,3
n544,Elyse Barrett,Elyse Barrett,3
n545,Graham Packham,Graham Packham,2
n546,Jessica Okosun,Jessica Okosun,2
n547,Fatma Basibuyuk Sahin,Fatma Basibuyuk Sahin,8
n548,Hilde Herrema,Hilde Herrema,8
n549,Isin Cakir,Isin Cakir,8
n550,Lewis Cantley,Lewis Cantley,9
n551,Mario Salazar,Mario Salazar,8
n552,Sang Park,Sang Park,8
n553,Serkan Cabi,Serkan Cabi,8
n554,Umut Ozcan,Umut Ozcan,8
n555,Amber Thompson,Amber Thompson,19
n556,Andrew Cook,Andrew Cook,19
n557,David Pryde,David Pryde,19
n558,Minghua Wang,Minghua Wang,19
n559,Robert Paton,Robert Paton,19
n560,Timothy Rooney,Timothy Rooney,26
n561,Andrea Reitsma,Andrea Reitsma,20
n562,Andy Hsu,Andy Hsu,20
n563,Benjamin Martin,Benjamin Martin,20
n564,Daniel Andrews,Daniel Andrews,20
n565,David Faulkner,David Faulkner,20
n566,David Ritchie,David Ritchie,20
n567,Geoffrey Matthews,Geoffrey Matthews,20
n568,Jake Shortt,Jake Shortt,20
n569,Jason Ellul,Jason Ellul,20
n570,Joan Heath,Joan Heath,20
n571,Karen Doggett,Karen Doggett,20
n572,Maria Doyle,Maria Doyle,20
n573,Marta Chesi,Marta Chesi,20
n574,P Bergsagel,P Bergsagel,34
n575,Paul Neeson,Paul Neeson,20
n576,Philip Thompson,Philip Thompson,20
n577,Ricky Johnstone,Ricky Johnstone,20
n578,Simon Hogg,Simon Hogg,20
n579,Tina Jockel,Tina Jockel,20
n580,Christina Chow,Christina Chow,7
n581,David Bentrem,David Bentrem,7
n582,Hidayatullah Munshi,Hidayatullah Munshi,7
n583,Kazumi Ebine,Kazumi Ebine,7
n584,Krishan Kumar,Krishan Kumar,7
n585,Lawrence Knab,Lawrence Knab,7
n586,Sania Raza,Sania Raza,7
n587,Amedeo Caflisch,Amedeo Caflisch,7
n588,Dimitrios Spiliotopoulos,Dimitrios Spiliotopoulos,4
n589,Hongtao Zhao,Hongtao Zhao,4
n590,Jing Dong,Jing Dong,4
n591,Carla Ritagliati,Carla Ritagliati,5
n592,Esteban Serra,Esteban Serra,5
n593,Gabriela Villanova,Gabriela Villanova,5
n594,María Machado Motta,María Machado Motta,5
n595,Pamela Cribb,Pamela Cribb,5
